index predict label sigmoid
2380 1.0 [0] 0.927438
2381 0.0 [1] 0.016231926
2387 1.0 [0] 0.5947148
2402 0.0 [1] 0.07766483
2422 0.0 [1] 6.12339e-05
2428 0.0 [1] 0.13819304
2439 1.0 [0] 0.99434847
2442 1.0 [0] 0.96460354
2456 0.0 [1] 0.2368978
2457 0.0 [1] 0.08824165
2459 0.0 [1] 0.04388803
2464 0.0 [1] 0.47732377
2465 0.0 [1] 0.24712509
2471 1.0 [0] 0.5231272
2478 1.0 [0] 0.6232999
2507 0.0 [1] 0.0012455449
2516 1.0 [0] 0.62478864
2526 0.0 [1] 0.0022636869
2528 0.0 [1] 0.046948906
2531 0.0 [1] 0.013860818
2538 0.0 [1] 0.010022371
2552 0.0 [1] 0.008492512
2568 0.0 [1] 0.0022108825
2570 1.0 [0] 0.8968906
2572 0.0 [1] 0.21711792
2576 0.0 [1] 0.20153403
2578 0.0 [1] 0.0018717012
2591 0.0 [1] 0.13779256
2599 1.0 [0] 0.8275361
2605 0.0 [1] 0.3147827
2628 0.0 [1] 0.27273965
2635 1.0 [0] 0.8661127
2658 1.0 [0] 0.9134906
2684 1.0 [0] 0.94847697
2706 1.0 [0] 0.97826433
2727 0.0 [1] 0.38980204
2728 1.0 [0] 0.99896765
2751 1.0 [0] 0.9842249
2754 0.0 [1] 0.0004944654
2755 0.0 [1] 0.0046475157
2757 1.0 [0] 0.7234377
2783 1.0 [0] 0.96508074
2812 0.0 [1] 0.22892863
2834 1.0 [0] 0.9979594
2865 0.0 [1] 0.22201717
2871 1.0 [0] 0.9988556
2878 1.0 [0] 0.97954696
2880 0.0 [1] 0.16356386
2891 1.0 [0] 0.6063454
2894 1.0 [0] 0.916921
2895 1.0 [0] 0.9092693
2901 0.0 [1] 0.14972991
2908 0.0 [1] 0.24843922
2924 0.0 [1] 0.46632746
2928 0.0 [1] 0.10362113
2929 0.0 [1] 0.36488032
2933 1.0 [0] 0.6359272
2937 1.0 [0] 0.86530966
2938 0.0 [1] 0.202635
2948 1.0 [0] 0.89500976
2977 1.0 [0] 0.82121456
2983 0.0 [1] 0.29382375
3013 0.0 [1] 0.057558518
3016 0.0 [1] 0.10008412
3021 0.0 [1] 0.02933749
3024 0.0 [1] 0.09690766
3043 0.0 [1] 0.34340125
3053 1.0 [0] 0.9166832
3056 0.0 [1] 0.17106447
3059 1.0 [0] 0.8205048
3086 0.0 [1] 0.4905372
3097 1.0 [0] 0.5897735
3116 1.0 [0] 0.9685075
3121 0.0 [1] 0.027373008
3122 1.0 [0] 0.72586536
3123 1.0 [0] 0.7338466
3135 1.0 [0] 0.9994585
3136 1.0 [0] 0.841966
3138 1.0 [0] 0.60614246
3144 1.0 [0] 0.9530516
3148 1.0 [0] 0.7129336
3151 1.0 [0] 0.9620072
3177 1.0 [0] 0.9872917
3194 1.0 [0] 0.5051663
3198 0.0 [1] 0.47448176
3251 1.0 [0] 0.9986192
3264 1.0 [0] 0.9909162
3268 1.0 [0] 0.8662644
3271 1.0 [0] 0.63394684
3276 1.0 [0] 0.87721574
3285 1.0 [0] 0.94565046
3291 0.0 [1] 0.086864546
3298 1.0 [0] 0.583661
3311 0.0 [1] 0.48516995
3313 1.0 [0] 0.8974765
3316 0.0 [1] 0.012520354
3323 0.0 [1] 0.31191465
3330 1.0 [0] 0.91568434
3337 0.0 [1] 0.09225197
3363 1.0 [0] 0.99797755
3372 1.0 [0] 0.89863396
3404 0.0 [1] 0.042454343
3407 1.0 [0] 0.5510836
3408 0.0 [1] 0.32443562
3424 1.0 [0] 0.8574073
3429 1.0 [0] 0.8703953
3440 1.0 [0] 0.69455916
3449 0.0 [1] 0.01392882
3450 1.0 [0] 0.9377277
3493 0.0 [1] 0.4642159
3496 1.0 [0] 0.9996923
3503 0.0 [1] 0.10676058
3521 0.0 [1] 0.0707595
3529 0.0 [1] 0.32795522
3557 0.0 [1] 0.2865934
3562 1.0 [0] 0.99814606
3563 0.0 [1] 0.0125843445
3565 0.0 [1] 0.055155262
3584 1.0 [0] 0.72497153
3588 0.0 [1] 0.08920442
3589 0.0 [1] 0.003326038
3604 1.0 [0] 0.8047971
3605 0.0 [1] 0.066127494
3611 1.0 [0] 0.8932779
3617 1.0 [0] 0.936126
3632 0.0 [1] 0.011193463
3644 0.0 [1] 0.18241636
3645 1.0 [0] 0.618726
3648 1.0 [0] 0.87173706
3675 1.0 [0] 0.97673565
3692 1.0 [0] 0.59375304
3696 1.0 [0] 0.5372452
3699 0.0 [1] 0.003716779
3715 0.0 [1] 0.0012983598
3735 0.0 [1] 0.19746348
3738 0.0 [1] 0.0011419246
3741 1.0 [0] 0.7147257
3742 0.0 [1] 0.035675917
3753 1.0 [0] 0.5384424
3761 0.0 [1] 0.030409556
3772 1.0 [0] 0.7037044
3790 0.0 [1] 0.1416785
3806 0.0 [1] 0.37726212
3839 1.0 [0] 0.96741205
3857 0.0 [1] 0.01442244
3869 1.0 [0] 0.8314751
3891 0.0 [1] 0.09010902
3898 0.0 [1] 0.076752484
3908 0.0 [1] 0.30222297
3916 1.0 [0] 0.99950767
3918 0.0 [1] 0.34776548
3934 0.0 [1] 0.096101806
3938 0.0 [1] 0.027261186
3940 0.0 [1] 0.15525144
3955 0.0 [1] 0.17956394
3969 0.0 [1] 0.06768818
3970 1.0 [0] 0.5297959
3971 0.0 [1] 0.007656352
3975 1.0 [0] 0.89124024
3979 1.0 [0] 0.9842069
4018 1.0 [0] 0.800991
4025 1.0 [0] 0.9905309
4037 1.0 [0] 0.5923205
4055 1.0 [0] 0.9929194
4064 1.0 [0] 0.9424369
4084 1.0 [0] 0.88789254
4099 1.0 [0] 0.81358975
4119 0.0 [1] 0.35888568
4123 0.0 [1] 0.3570557
4136 1.0 [0] 0.9871912
4142 0.0 [1] 0.35251668
4163 0.0 [1] 0.15101609
4167 0.0 [1] 0.37340942
4175 1.0 [0] 0.91183037
4178 1.0 [0] 0.9026485
4186 0.0 [1] 0.02077706
4199 0.0 [1] 0.04694946
4207 0.0 [1] 0.1720757
4219 1.0 [0] 0.5580246
4222 0.0 [1] 0.44109315
4243 0.0 [1] 0.056572523
4245 1.0 [0] 0.89230347
4247 0.0 [1] 0.1451416
4251 0.0 [1] 0.11324318
4256 0.0 [1] 0.24450147
4260 1.0 [0] 0.8729372
4275 0.0 [1] 0.13674504
4281 0.0 [1] 0.15019988
4289 1.0 [0] 0.88404787
4304 1.0 [0] 0.74773055
4311 0.0 [1] 0.4680834
4312 0.0 [1] 0.2719816
4328 0.0 [1] 0.04178317
443 4333

Process finished with exit code 0
